V,Tipo dato 1,Tiempo1(ms),V2,Tipo dato 2,Tiempo 2 (ms),V3,Tipo dato 3,Tiempo 3 (ms),,,,,,
Concurrente,VerificarHMAC,0.0294,Concurrente,CifrarRSA,0.072,Concurrente,VerificarHMAC,0.0691,,,,,,
Concurrente,VerificarHMAC,0.0428,Concurrente,VerificarHMAC,0.0329,Concurrente,VerificarHMAC,0.0449,,,,,,
Concurrente,VerificarHMAC,0.0393,Concurrente,VerificarHMAC,0.0388,Concurrente,VerificarHMAC,0.0319,,,,,,
Concurrente,Firmar,0.3779,Concurrente,Firmar,0.344,Concurrente,VerificarHMAC,0.0288,,,,,,
Concurrente,CifrarAES,0.0826,Concurrente,CifrarAES,0.0719,Concurrente,Firmar,0.5267,,,,,,
Concurrente,CifrarRSA,0.1324,Concurrente,CifrarRSA,0.1497,Concurrente,Firmar,0.3242,,,,,,
Concurrente,VerificarHMAC,0.0389,Concurrente,VerificarHMAC,0.0369,Concurrente,CifrarAES,0.0561,,,,,,
Concurrente,VerificarHMAC,0.0378,Concurrente,VerificarHMAC,0.0343,Concurrente,CifrarAES,0.0977,,,,,,
Concurrente,Firmar,0.5952,Concurrente,Firmar,0.2872,Concurrente,CifrarRSA,0.0657,,,,,,
Concurrente,CifrarAES,0.076,Concurrente,CifrarAES,0.0574,Concurrente,CifrarRSA,0.0571,,,,,,
Concurrente,CifrarRSA,0.0601,Concurrente,CifrarRSA,0.0586,Concurrente,VerificarHMAC,0.0294,,,,,,
Concurrente,VerificarHMAC,0.0371,Concurrente,VerificarHMAC,0.0283,Concurrente,VerificarHMAC,0.0864,,,,,,
Concurrente,VerificarHMAC,0.2341,Concurrente,VerificarHMAC,0.0849,Concurrente,VerificarHMAC,0.0903,,,,,,
Concurrente,Firmar,0.345,Concurrente,Firmar,0.2861,Concurrente,Firmar,0.2852,,,,,,
Concurrente,CifrarAES,0.1272,Concurrente,CifrarAES,0.2105,Concurrente,CifrarAES,0.1267,,,,,,
Concurrente,CifrarRSA,0.0678,Concurrente,CifrarRSA,0.2814,Concurrente,CifrarRSA,0.0713,,,,,,
Concurrente,VerificarHMAC,0.0341,Concurrente,VerificarHMAC,0.0295,Concurrente,VerificarHMAC,0.0351,,,,,,
Concurrente,VerificarHMAC,0.0315,Concurrente,VerificarHMAC,0.0272,Concurrente,VerificarHMAC,0.0344,,,,,,
Concurrente,Firmar,0.263,Concurrente,Firmar,0.3422,Concurrente,Firmar,0.2786,,,,,,
Concurrente,CifrarAES,0.0645,Concurrente,CifrarAES,0.0527,Concurrente,CifrarAES,0.0507,,,,,,
Concurrente,CifrarRSA,0.0985,Concurrente,CifrarRSA,0.1072,Concurrente,CifrarRSA,0.1219,,,,,,
Concurrente,VerificarHMAC,0.0295,Concurrente,VerificarHMAC,0.0267,Concurrente,VerificarHMAC,0.0326,,,,,,
Concurrente,VerificarHMAC,0.0306,Concurrente,VerificarHMAC,0.0564,Concurrente,VerificarHMAC,0.0233,,,,,,
Concurrente,Firmar,0.214,Concurrente,VerificarHMAC,0.0419,Concurrente,Firmar,0.2124,,,,,,
Concurrente,CifrarAES,0.0446,Concurrente,Firmar,0.2251,Concurrente,CifrarAES,0.0826,,,,,,
